source,feed_url,headline,summary,url,published_date,topics
Phys.org,https://phys.org/rss-feed/,Physicists find electronic agents that govern flat band quantum materials,"Physicists have directly visualized the fundamental electronic building blocks of flat-band quantum materials, a class of systems in which electron motion is effectively quenched and strong interactions give rise to emergent phases of matter. In a study published in Nature Physics, Qimiao Si's group at Rice University, in collaboration with researchers at the Weizmann Institute of Science, identified compact molecular orbitals that act as the key electronic agents governing the exotic behavior of these materials.",https://phys.org/news/2026-03-physicists-electronic-agents-flat-band.html,2026-03-21 11:20:05+00:00,Science
Phys.org,https://phys.org/rss-feed/,Youth leaving foster care with strong emotional support face lower incarceration odds,"Youth in foster care often experience family instability, which can disrupt the continuity of their relationships and social connections. Therefore, the strength and stability of their social support networks can play a critical role in shaping their lives.",https://phys.org/news/2026-03-youth-foster-strong-emotional-incarceration.html,2026-03-21 10:40:02+00:00,Other
Phys.org,https://phys.org/rss-feed/,Satellite radar shows Alaska glaciers melt three extra weeks for each 1°C of summer warming,"Alaska's glaciers respond to climate change by melting for three additional weeks with every 1 degree Celsius increase in the average summer temperature, data from satellite-mounted radars show.",https://phys.org/news/2026-03-satellite-radar-alaska-glaciers-extra.html,2026-03-21 10:30:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,"March heat surges past 100 in California and Arizona, smashing records","A burst of unusual March heat is hitting the United States this week and into next, busting previous monthly heat records by wide margins. While heat is most acutely felt by people exposed to it, graphics and charts convey the scale of this extreme event. Temperatures in the West remain far above what's typical for March, a sign the early season heat is not letting up. Compared with the average highs for March between 1991 and 2020, temperatures across some parts of Oklahoma, Nebraska, northern Texas and South Dakota are reaching at least 20 degrees Fahrenheit (11 degrees Celsius) above normal.",https://phys.org/news/2026-03-surges-california-arizona.html,2026-03-21 10:07:54+00:00,Other
Phys.org,https://phys.org/rss-feed/,Addressing the Achilles' heel of marine protected areas,New research led by James Cook University (JCU) emphasizes that the success of marine protected areas (MPAs) depends largely on understanding and influencing people's behaviors within their borders. The study demonstrates that effective conservation relies on compliance—a critically underappreciated issue that needs to be systematically and adaptively addressed.,https://phys.org/news/2026-03-achilles-heel-marine-areas.html,2026-03-21 02:50:01+00:00,Science
Phys.org,https://phys.org/rss-feed/,"You probably agree with animals on which bird calls, frog noises and cricket chirps are most attractive—new study","Animals do all sorts of things to attract each other as potential mates. Many birds, for example, produce feathers with elaborate color patterns—from the iridescent plumage of many hummingbirds to the famously brilliant tail of a peacock. Charles Darwin, an early pioneer in the theory of evolution, saw these colors and concluded that they exist because other birds find them attractive.",https://phys.org/news/2026-03-animals-bird-frog-noises-cricket.html,2026-03-21 02:10:03+00:00,Science
TechCrunch,https://techcrunch.com/feed/,New court filing reveals Pentagon told Anthropic the two sides were nearly aligned — a week after Trump declared the relationship kaput,"Anthropic submitted two sworn declarations to a California federal court late Friday afternoon, pushing back on the Pentagon's assertion that the AI company poses an ""unacceptable risk to national security"" and arguing that the government's case relies on technical misunderstandings and claims that were never actually raised during the months of negotiations.",https://techcrunch.com/2026/03/20/new-court-filing-reveals-pentagon-told-anthropic-the-two-sides-were-nearly-aligned-a-week-after-trump-declared-the-relationship-kaput/,2026-03-21 01:40:28+00:00,"AI, Defense"
Phys.org,https://phys.org/rss-feed/,"Feeling you belong may keep scientists in ornithology, study suggests","Across the sciences, researchers are asking why so many scientists leave their fields. A new study from Virginia Tech suggests at least part of the answer may be surprisingly simple. Scientists who feel a stronger sense of belonging in their discipline are more likely to intend to stay. Those who feel they do not belong are more likely to consider leaving. Published recently in Biological Conservation, the study examined ornithologists, people who study birds, and found a clear link between belonging and intentions.",https://phys.org/news/2026-03-scientists-ornithology.html,2026-03-21 01:10:02+00:00,Science
Phys.org,https://phys.org/rss-feed/,Sweden's 'old‑growth' natural forests store 83% more carbon than managed woodlands—new study,"Most of Europe's original natural forests have been transformed for agriculture and managed forests producing energy, paper, and timber. The few remaining ""old-growth"" natural forests are relics of the past that illustrate how forests would have looked in the absence of human management. They can, therefore, tell us how people have transformed forests.",https://phys.org/news/2026-03-sweden-oldgrowth-natural-forests-carbon.html,2026-03-21 00:30:03+00:00,Science
Phys.org,https://phys.org/rss-feed/,English history's biggest march is a myth—King Harold sailed to the Battle of Hastings,"New research from the University of East Anglia (UEA) reveals that King Harold's legendary 200-mile march to the Battle of Hastings in 1066 never happened. Instead, the journey was made largely by sea. The findings overturn one of the most iconic stories in English history, altering how the Norman Conquest is understood in classrooms, museums, and public memory.",https://phys.org/news/2026-03-english-history-biggest-myth-king.html,2026-03-21 00:00:01+00:00,Science
